number,opened_at,closed_at,incident_state,time,time_min,reassignment_count,reopen_count,sys_mod_count,impact,impact_ord,urgency,urgency_ord,knowledge,know_ord
INC0000045,2016-02-29 01:16:00,2016-03-05 12:00:00,Closed,5 days 10:44:00,7844.0,0,0,4,2 - Medium,2,2 - Medium,2,True,1
INC0000047,2016-02-29 04:40:00,2016-03-06 10:00:00,Closed,6 days 05:20:00,8960.0,1,0,8,2 - Medium,2,2 - Medium,2,True,1
INC0000057,2016-02-29 06:10:00,2016-03-06 03:00:00,Closed,5 days 20:50:00,8450.0,0,0,6,2 - Medium,2,2 - Medium,2,True,1
INC0000060,2016-02-29 06:38:00,2016-03-07 13:00:00,Closed,7 days 06:22:00,10462.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000062,2016-02-29 06:58:00,2016-03-05 16:00:00,Closed,5 days 09:02:00,7742.0,1,0,7,1 - High,1,2 - Medium,2,True,1
INC0000063,2016-02-29 07:08:00,2016-03-05 17:00:00,Closed,5 days 09:52:00,7792.0,1,0,7,2 - Medium,2,2 - Medium,2,True,1
INC0000064,2016-02-29 07:10:00,2016-03-08 17:00:00,Closed,8 days 09:50:00,12110.0,1,0,8,2 - Medium,2,2 - Medium,2,True,1
INC0000066,2016-02-29 08:03:00,2016-03-07 15:00:00,Closed,7 days 06:57:00,10497.0,1,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000067,2016-02-29 08:03:00,2016-03-07 12:00:00,Closed,7 days 03:57:00,10317.0,1,0,10,2 - Medium,2,2 - Medium,2,True,1
INC0000070,2016-02-29 08:11:00,2016-03-24 18:40:00,Closed,24 days 10:29:00,35189.0,1,0,9,2 - Medium,2,2 - Medium,2,True,1
INC0000071,2016-02-29 08:12:00,2016-03-06 11:00:00,Closed,6 days 02:48:00,8808.0,0,0,7,2 - Medium,2,2 - Medium,2,True,1
INC0000073,2016-02-29 08:22:00,2016-03-06 16:00:00,Closed,6 days 07:38:00,9098.0,1,0,6,2 - Medium,2,2 - Medium,2,True,1
INC0000076,2016-02-29 08:25:00,2016-03-05 17:00:00,Closed,5 days 08:35:00,7715.0,0,0,2,2 - Medium,2,2 - Medium,2,True,1
INC0000077,2016-02-29 08:27:00,2016-03-05 10:00:00,Closed,5 days 01:33:00,7293.0,0,0,5,2 - Medium,2,2 - Medium,2,True,1
INC0000079,2016-02-29 08:32:00,2016-03-05 12:00:00,Closed,5 days 03:28:00,7408.0,1,0,4,2 - Medium,2,2 - Medium,2,True,1
INC0000080,2016-02-29 08:33:00,2016-03-07 12:00:00,Closed,7 days 03:27:00,10287.0,0,0,7,2 - Medium,2,2 - Medium,2,True,1
INC0000083,2016-02-29 08:39:00,2016-03-05 17:00:00,Closed,5 days 08:21:00,7701.0,1,0,4,3 - Low,3,3 - Low,3,True,1
INC0000085,2016-02-29 08:41:00,2016-03-07 15:00:00,Closed,7 days 06:19:00,10459.0,0,0,6,2 - Medium,2,2 - Medium,2,True,1
INC0000086,2016-02-29 08:43:00,2016-03-06 16:00:00,Closed,6 days 07:17:00,9077.0,1,0,8,2 - Medium,2,2 - Medium,2,True,1
INC0000087,2016-02-29 08:47:00,2016-03-07 15:00:00,Closed,7 days 06:13:00,10453.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000088,2016-02-29 08:48:00,2016-03-05 10:00:00,Closed,5 days 01:12:00,7272.0,0,0,2,2 - Medium,2,2 - Medium,2,True,1
INC0000092,2016-02-29 08:55:00,2016-03-12 09:00:00,Closed,12 days 00:05:00,17285.0,1,0,6,2 - Medium,2,2 - Medium,2,True,1
INC0000093,2016-02-29 08:56:00,2016-03-05 10:00:00,Closed,5 days 01:04:00,7264.0,0,0,1,2 - Medium,2,2 - Medium,2,True,1
INC0000094,2016-02-29 08:58:00,2016-03-24 18:50:00,Closed,24 days 09:52:00,35152.0,0,0,10,3 - Low,3,3 - Low,3,True,1
INC0000098,2016-02-29 09:02:00,2016-03-07 15:00:00,Closed,7 days 05:58:00,10438.0,1,0,5,2 - Medium,2,2 - Medium,2,True,1
INC0000099,2016-02-29 09:03:00,2016-03-06 10:00:00,Closed,6 days 00:57:00,8697.0,1,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000100,2016-02-29 09:05:00,2016-03-07 15:00:00,Closed,7 days 05:55:00,10435.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000101,2016-02-29 09:05:00,2016-03-05 12:00:00,Closed,5 days 02:55:00,7375.0,0,0,6,2 - Medium,2,3 - Low,3,True,1
INC0000103,2016-02-29 09:07:00,2016-03-07 15:00:00,Closed,7 days 05:53:00,10433.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000104,2016-02-29 09:08:00,2016-03-06 12:00:00,Closed,6 days 02:52:00,8812.0,1,0,6,1 - High,1,2 - Medium,2,True,1
INC0000105,2016-02-29 09:10:00,2016-03-05 12:00:00,Closed,5 days 02:50:00,7370.0,1,0,7,2 - Medium,2,2 - Medium,2,True,1
INC0000110,2016-02-29 09:13:00,2016-03-07 15:00:00,Closed,7 days 05:47:00,10427.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000111,2016-02-29 09:14:00,2016-03-07 15:00:00,Closed,7 days 05:46:00,10426.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000112,2016-02-29 09:15:00,2016-03-07 16:00:00,Closed,7 days 06:45:00,10485.0,2,0,5,2 - Medium,2,2 - Medium,2,True,1
INC0000113,2016-02-29 09:18:00,2016-03-07 20:00:00,Closed,7 days 10:42:00,10722.0,0,0,4,2 - Medium,2,2 - Medium,2,True,1
INC0000114,2016-02-29 09:18:00,2016-03-08 02:00:00,Closed,7 days 16:42:00,11082.0,1,0,9,2 - Medium,2,2 - Medium,2,True,1
INC0000115,2016-02-29 09:20:00,2016-03-06 09:00:00,Closed,5 days 23:40:00,8620.0,2,0,5,2 - Medium,2,2 - Medium,2,True,1
INC0000116,2016-02-29 09:20:00,2016-03-06 13:00:00,Closed,6 days 03:40:00,8860.0,1,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000119,2016-02-29 09:22:00,2016-03-06 10:00:00,Closed,6 days 00:38:00,8678.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000121,2016-02-29 09:25:00,2016-03-05 17:00:00,Closed,5 days 07:35:00,7655.0,0,0,2,2 - Medium,2,2 - Medium,2,True,1
